[2026-09-16 04:24:01] ALERT: Red Zone Breach! Intent: PATROLLING / NORMAL
[2026-09-16 04:24:05] ALERT: Red Zone Breach! Intent: PATROLLING / NORMAL
[2026-09-16 04:24:08] ALERT: Red Zone Breach! Intent: PATROLLING / NORMAL
[2026-09-16 04:24:11] ALERT: Red Zone Breach! Intent: PATROLLING / NORMAL
[2026-09-16 04:24:14] ALERT: Red Zone Breach! Intent: FAST APPROACH
[2026-09-16 04:24:18] ALERT: Red Zone Breach! Intent: RUNNING / SPRINTING (CRITICAL THREAT)
[2026-09-16 04:24:21] ALERT: Red Zone Breach! Intent: FAST APPROACH
[2026-09-16 04:24:24] ALERT: Red Zone Breach! Intent: RUNNING / SPRINTING (CRITICAL THREAT)
[2026-09-16 04:24:27] ALERT: Red Zone Breach! Intent: PATROLLING / NORMAL
[2026-09-16 04:24:31] ALERT: Red Zone Breach! Intent: PATROLLING / NORMAL
[2026-09-16 04:24:34] ALERT: Red Zone Breach! Intent: PATROLLING / NORMAL
[2026-09-16 04:28:31] ALERT: Red Zone Breach! Target #1 | Intent: FAST APPROACH
[2026-09-21 16:11:47] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-21 16:11:50] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:11:54] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:11:57] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:12:00] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:12:03] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-21 16:12:07] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:12:10] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-21 16:12:13] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:12:16] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:12:19] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-21 16:12:23] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:12:26] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:12:32] ALERT: Red Zone Breach! Target #1 | Intent: FAST APPROACH
[2026-09-21 16:12:41] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:12:44] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:12:47] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-21 16:23:09] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-21 16:23:12] ALERT: Red Zone Breach! Target #1 | Intent: FAST APPROACH
[2026-09-21 16:23:16] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-21 16:23:19] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-21 16:23:22] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-21 16:23:26] ALERT: Red Zone Breach! Target #1 | Intent: FAST APPROACH
[2026-09-21 16:23:29] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:23:32] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-21 16:23:35] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:23:39] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-21 16:23:42] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-21 16:23:46] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:23:49] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:23:53] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:23:56] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:24:00] ALERT: Red Zone Breach! Target #1 | Intent: FAST APPROACH
[2026-09-21 16:24:03] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:24:06] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:24:09] ALERT: Red Zone Breach! Target #1 | Intent: FAST APPROACH
[2026-09-21 16:24:13] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:24:16] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:24:19] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:24:22] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-21 16:24:26] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-21 16:24:29] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:24:32] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:24:35] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:24:38] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:24:42] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:24:45] ALERT: Red Zone Breach! Target #1 | Intent: FAST APPROACH
[2026-09-21 16:24:48] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:24:51] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:24:54] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-21 16:24:58] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:25:01] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:25:04] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:25:07] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:25:10] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:25:14] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-21 16:25:17] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-21 16:25:20] ALERT: Red Zone Breach! Target #1 | Intent: FAST APPROACH
[2026-09-21 16:25:23] ALERT: Red Zone Breach! Target #1 | Intent: FAST APPROACH
[2026-09-21 16:25:27] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-21 16:25:30] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-21 16:25:33] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:25:36] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:25:40] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
